Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second Class,Consumer,United States,Houston,Texas,77036,Central,Technology,Accessories,57.584,2,0.2,0.7198
Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,6.672,6,0.2,0.5004
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Paper,31.872,8,0.2,11.5536
Standard Class,Corporate,United States,Amarillo,Texas,79109,Central,Furniture,Bookcases,205.3328,2,0.32,-36.2352
Second Class,Home Office,United States,Huntsville,Texas,77340,Central,Technology,Phones,7.992,1,0.2,0.5994
Second Class,Home Office,United States,Huntsville,Texas,77340,Central,Technology,Accessories,63.984,2,0.2,10.3974
Second Class,Home Office,United States,Huntsville,Texas,77340,Central,Office Supplies,Art,70.368,2,0.2,6.1572
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,18.392,1,0.2,5.2877
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Storage,129.568,2,0.2,-25.9136
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,14.112,9,0.8,-21.168
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Accessories,58.112,2,0.2,7.264
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Phones,100.792,1,0.2,6.2995
Standard Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,66.112,4,0.6,-84.2928
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Fasteners,10.824,3,0.2,2.5707
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Art,9.344,2,0.2,1.168
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Technology,Accessories,31.2,3,0.2,9.75
First Class,Corporate,United States,Dallas,Texas,75217,Central,Technology,Phones,369.576,3,0.2,41.5773
First Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Labels,15.712,4,0.2,5.6956
Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Storage,999.432,7,0.2,124.929
Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Storage,724.08,14,0.2,-135.765
Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Furniture,Tables,918.785,5,0.3,-118.1295
Standard Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,2.724,3,0.8,-4.2222
Second Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Supplies,23.76,3,0.2,2.079
Second Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,85.056,3,0.2,28.7064
Second Class,Corporate,United States,Dallas,Texas,75081,Central,Technology,Phones,381.576,3,0.2,28.6182
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Appliances,2.688,3,0.8,-7.392
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Technology,Accessories,27.816,3,0.2,4.5201
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Furniture,Furnishings,82.524,3,0.6,-41.262
Standard Class,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Binders,182.994,3,0.8,-320.2395
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Envelopes,17.568,2,0.2,6.3684
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Technology,Phones,55.992,1,0.2,5.5992
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Supplies,51.52,5,0.2,-10.948
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Paper,3.528,1,0.2,1.1466
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Paper,4.624,1,0.2,1.6762
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Supplies,55.168,4,0.2,6.2064
Second Class,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Binders,51.184,4,0.8,-79.3352
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Technology,Phones,21.072,3,0.2,1.5804
Second Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Envelopes,15.648,2,0.2,5.0856
First Class,Consumer,United States,Garland,Texas,75043,Central,Office Supplies,Labels,10.44,5,0.2,3.393
First Class,Consumer,United States,Garland,Texas,75043,Central,Office Supplies,Binders,18.336,4,0.8,-32.088
Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Furniture,Tables,99.918,2,0.3,-18.5562
Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,797.944,4,0.3,-56.996
Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,8.568,3,0.8,-14.5656
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Envelopes,149.352,3,0.2,50.4063
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Storage,12.992,1,0.2,-0.812
Standard Class,Consumer,United States,Round Rock,Texas,78664,Central,Office Supplies,Art,27.168,2,0.2,2.7168
Standard Class,Consumer,United States,Round Rock,Texas,78664,Central,Furniture,Bookcases,78.8528,2,0.32,-11.596
Standard Class,Home Office,United States,Pasadena,Texas,77506,Central,Office Supplies,Labels,7.968,2,0.2,2.5896
Standard Class,Home Office,United States,Pasadena,Texas,77506,Central,Office Supplies,Envelopes,27.968,4,0.2,9.4392
Standard Class,Home Office,United States,Pasadena,Texas,77506,Central,Technology,Machines,336.51,3,0.4,44.868
Same Day,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.112,2,0.8,-1.8904
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Chairs,107.772,2,0.3,-29.2524
Second Class,Consumer,United States,Brownsville,Texas,78521,Central,Office Supplies,Supplies,1.744,1,0.2,-0.3488
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,2.694,3,0.8,-4.7145
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,2.934,3,0.8,-4.9878
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Storage,100.704,6,0.2,-16.3644
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Furnishings,2.328,2,0.6,-0.7566
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,10.78,5,0.8,-17.248
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Fasteners,58.368,12,0.2,21.888
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,40.968,3,0.2,13.8267
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Phones,71.96,5,0.2,25.186
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.192,2,0.8,-2.0264
Second Class,Home Office,United States,Houston,Texas,77070,Central,Technology,Accessories,258.696,3,0.2,64.674
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,431.928,9,0.2,64.7892
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Chairs,95.984,4,0.3,-4.1136
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1088.792,4,0.8,-1850.9464
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Chairs,388.43,5,0.3,-88.784
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,14.352,3,0.2,5.2026
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Accessories,63.992,1,0.2,-7.1991
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Art,86.352,3,0.2,5.397
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Binders,2.772,7,0.8,-4.851
Second Class,Consumer,United States,Houston,Texas,77036,Central,Technology,Phones,419.944,7,0.2,52.493
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,1.08,3,0.8,-1.728
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,7.96,2,0.8,-13.93
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,220.776,3,0.2,-44.1552
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,281.424,11,0.2,-35.178
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,1.988,1,0.6,-1.4413
Standard Class,Home Office,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Labels,23.68,2,0.2,8.88
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Phones,946.344,7,0.2,118.293
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Accessories,151.2,3,0.2,32.13
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,4.928,4,0.6,-1.4784
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,263.88,3,0.2,42.8805
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Furniture,Chairs,2453.43,5,0.3,-350.49
Standard Class,Corporate,United States,Irving,Texas,75061,Central,Office Supplies,Labels,15.936,4,0.2,5.1792
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Technology,Accessories,159.984,2,0.2,43.9956
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Furniture,Chairs,1024.716,6,0.3,-29.2776
Same Day,Consumer,United States,Houston,Texas,77036,Central,Furniture,Furnishings,6.688,4,0.6,-4.0128
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Art,10.192,7,0.2,3.185
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Storage,16.784,1,0.2,-0.2098
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Art,13.12,5,0.2,3.772
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,16.056,3,0.2,5.8203
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,223.056,9,0.2,69.705
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Storage,540.048,3,0.2,-47.2542
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Storage,200.064,3,0.2,12.504
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,21.38,5,0.8,-33.139
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,6.744,4,0.8,-11.4648
Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Paper,335.52,4,0.2,117.432
Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,23.912,2,0.8,-40.6504
Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,27.056,2,0.2,2.3674
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,9.324,6,0.8,-24.7086
First Class,Consumer,United States,Allen,Texas,75002,Central,Technology,Accessories,21.48,3,0.2,-0.2685
First Class,Consumer,United States,Allen,Texas,75002,Central,Office Supplies,Binders,8.784,4,0.8,-13.6152
First Class,Consumer,United States,El Paso,Texas,79907,Central,Technology,Phones,40.68,3,0.2,-9.153
First Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs,763.28,5,0.3,-21.808
Standard Class,Corporate,United States,Grapevine,Texas,76051,Central,Office Supplies,Art,33.488,7,0.2,5.8604
Standard Class,Corporate,United States,Grapevine,Texas,76051,Central,Office Supplies,Fasteners,8.04,5,0.2,2.9145
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Paper,16.896,4,0.2,5.28
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Supplies,6.672,1,0.2,0.5004
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Art,99.136,4,0.2,8.6744
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Furniture,Furnishings,15.992,2,0.6,-13.993
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,41.92,5,0.2,3.668
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Technology,Accessories,297.576,3,0.2,-7.4394
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Fasteners,4.344,3,0.2,0.8688
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Technology,Accessories,94.992,2,0.2,-2.3748
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Paper,74.352,3,0.2,23.235
Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Art,14.04,3,0.2,1.5795
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,16.68,3,0.2,5.2125
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Technology,Phones,167.968,4,0.2,62.988
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,21.936,2,0.6,-10.4196
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,6.588,3,0.8,-10.2114
Second Class,Home Office,United States,Plano,Texas,75023,Central,Technology,Accessories,13.616,2,0.2,3.5742
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Paper,14.304,6,0.2,5.0064
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Storage,338.04,3,0.2,-33.804
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Art,154.24,4,0.2,17.352
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
Standard Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Art,6.24,3,0.2,0.546
Standard Class,Home Office,United States,San Antonio,Texas,78207,Central,Furniture,Tables,206.962,2,0.3,-32.5226
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,360.712,11,0.2,130.7581
Second Class,Home Office,United States,Fort Worth,Texas,76106,Central,Technology,Phones,1718.4,6,0.2,150.36
First Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Binders,41.568,6,0.8,-66.5088
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Accessories,46.864,2,0.2,7.6154
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Supplies,6.976,4,0.2,-1.3952
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,12.222,7,0.8,-20.1663
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,60.416,2,0.2,6.0416
Second Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Fasteners,11.168,4,0.2,3.6296
Second Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,53.952,3,0.2,17.5344
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Technology,Machines,1439.982,3,0.4,-263.9967
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Office Supplies,Paper,36.288,7,0.2,12.7008
Second Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Labels,40.096,4,0.2,13.5324
Second Class,Corporate,United States,San Antonio,Texas,78207,Central,Furniture,Furnishings,40.784,2,0.6,-30.588
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,127.92,5,0.2,-15.99
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,34.24,4,0.8,-53.072
Same Day,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,49.632,4,0.2,4.9632
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,470.376,3,0.2,47.0376
Second Class,Consumer,United States,Keller,Texas,76248,Central,Office Supplies,Labels,6.0,2,0.2,2.1
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Paper,273.896,7,0.2,92.4399
Second Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Machines,597.132,3,0.4,49.761
Second Class,Corporate,United States,Arlington,Texas,76017,Central,Technology,Phones,863.64,9,0.2,107.955
Second Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Art,47.616,3,0.2,3.5712
Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Technology,Accessories,95.968,4,0.2,26.3912
Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Office Supplies,Paper,10.368,2,0.2,3.6288
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,294.62,5,0.8,-766.012
Second Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Furnishings,8.752,4,0.6,-3.7196
Standard Class,Home Office,United States,Lubbock,Texas,79424,Central,Office Supplies,Binders,11.364,3,0.8,-17.046
Same Day,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,159.984,2,0.2,35.9964
Same Day,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Storage,46.344,3,0.2,4.6344
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,9.392,2,0.2,3.2872
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Art,9.328,1,0.2,0.8162
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Office Supplies,Paper,15.552,3,0.2,5.4432
Standard Class,Home Office,United States,Houston,Texas,77036,Central,Office Supplies,Labels,23.68,2,0.2,8.88
Same Day,Corporate,United States,Mesquite,Texas,75150,Central,Office Supplies,Binders,0.876,1,0.8,-1.4016
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Furnishings,14.76,5,0.6,-11.439
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Binders,3.656,4,0.8,-5.8496
Standard Class,Consumer,United States,College Station,Texas,77840,Central,Furniture,Chairs,233.058,3,0.3,-53.2704
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Technology,Accessories,191.976,3,0.2,23.997
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Paper,8.288,2,0.2,3.0044
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Furniture,Furnishings,139.92,5,0.6,-150.414
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Art,15.872,1,0.2,1.1904
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Binders,6.286,7,0.8,-11.0005
Standard Class,Corporate,United States,San Angelo,Texas,76903,Central,Furniture,Chairs,305.312,2,0.3,-8.7232
Standard Class,Home Office,United States,Houston,Texas,77070,Central,Office Supplies,Binders,9.264,3,0.8,-13.896
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,61.792,4,0.2,6.1792
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Office Supplies,Fasteners,2.896,2,0.2,0.4706
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Technology,Phones,124.792,1,0.2,15.599
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Paper,27.216,3,0.2,9.8658
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Paper,70.08,5,0.2,24.528
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,1.272,2,0.8,-2.1624
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Tables,557.585,5,0.3,0.0
Standard Class,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,1.344,4,0.8,-2.1504
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,8.272,4,0.8,-13.6488
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,12.544,7,0.6,-9.0944
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Phones,54.368,4,0.2,4.0776
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Supplies,11.184,1,0.2,0.8388
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Storage,153.584,2,0.2,-32.6366
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Tables,300.93,5,0.3,-34.392
Second Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,719.96,5,0.2,53.997
Same Day,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,32.784,4,0.8,-85.2384
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Envelopes,604.656,9,0.2,204.0714
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Art,42.048,9,0.2,5.256
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,25.488,2,0.2,4.4604
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,6.9,3,0.8,-12.075
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,9.648,6,0.8,-16.884
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Paper,7.968,2,0.2,2.8884
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Furnishings,51.712,8,0.6,-32.32
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Technology,Accessories,1399.944,7,0.2,52.4979
Standard Class,Corporate,United States,Haltom City,Texas,76117,Central,Office Supplies,Envelopes,6.608,2,0.2,2.1476
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Technology,Accessories,24.672,3,0.2,0.0
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,2.52,1,0.2,0.882
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Tables,1218.735,5,0.3,-121.8735
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,5.904,2,0.2,1.9926
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Paper,15.696,3,0.2,5.1012
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,6.096,3,0.6,-3.9624
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,79.512,3,0.2,20.8719
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Office Supplies,Paper,28.352,1,0.2,9.5688
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,23.976,3,0.6,-14.3856
Standard Class,Home Office,United States,Frisco,Texas,75034,Central,Technology,Accessories,27.168,4,0.2,-1.3584
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,32.192,2,0.8,-80.48
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories,50.12,7,0.2,-0.6265
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories,47.976,3,0.2,1.7991
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings,58.36,5,0.6,-24.803
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Office Supplies,Art,16.464,7,0.2,1.4406
