Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698
Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616
Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,0.0,18.4464
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,0.0,2.3814
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,0.0,26.271
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,0.0,48.5392
First Class,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,0.0,21.0288
First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0.0,2.691
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,3,0.0,9.8418
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,7,0.2,21.259
Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,0.0,22.984
Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116
Standard Class,Consumer,Whittier,California,West,Technology,Phones,444.768,4,0.2,44.4768
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,6,0.0,26.0568
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.376,3,0.2,22.6782
Standard Class,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,2,0.0,4.752
Second Class,Consumer,San Francisco,California,West,Furniture,Chairs,321.568,2,0.2,28.1372
Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,7.61,1,0.0,3.5767
Standard Class,Consumer,Brentwood,California,West,Technology,Accessories,79.9,2,0.0,35.156
First Class,Consumer,San Francisco,California,West,Furniture,Furnishings,5.28,3,0.0,2.3232
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,10.92,3,0.2,4.095
First Class,Corporate,Inglewood,California,West,Office Supplies,Paper,8.82,2,0.0,4.0572
First Class,Corporate,Inglewood,California,West,Office Supplies,Art,5.98,1,0.0,1.5548
Standard Class,Corporate,Long Beach,California,West,Office Supplies,Fasteners,7.16,2,0.0,3.58
Standard Class,Corporate,Hesperia,California,West,Technology,Accessories,99.99,1,0.0,34.9965
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,4.752,1,0.2,1.6038
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,14.368,4,0.2,4.49
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Binders,7.712,2,0.2,2.7956
Standard Class,Consumer,San Francisco,California,West,Technology,Phones,47.976,3,0.2,4.7976
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,211.96,4,0.0,8.4784
First Class,Corporate,San Francisco,California,West,Office Supplies,Paper,50.96,7,0.0,25.48
First Class,Corporate,San Francisco,California,West,Office Supplies,Binders,49.536,3,0.2,17.3376
Standard Class,Consumer,San Francisco,California,West,Technology,Accessories,179.95,5,0.0,37.7895
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,27.15,5,0.0,13.3035
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,9.68,1,0.0,4.6464
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Labels,28.35,9,0.0,13.608
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,55.98,1,0.0,27.4302
Standard Class,Consumer,San Francisco,California,West,Furniture,Chairs,113.568,2,0.2,-18.4548
Standard Class,Consumer,Huntington Beach,California,West,Office Supplies,Art,95.92,8,0.0,25.8984
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,383.8,5,0.2,38.38
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,9.32,4,0.0,2.7028
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Envelopes,15.25,1,0.0,7.015
Standard Class,Consumer,Concord,California,West,Furniture,Chairs,129.568,2,0.2,-24.294
Second Class,Consumer,San Francisco,California,West,Office Supplies,Storage,340.92,3,0.0,3.4092
Second Class,Consumer,San Francisco,California,West,Furniture,Bookcases,222.666,2,0.15,10.4784
Second Class,Consumer,San Francisco,California,West,Office Supplies,Storage,92.52,6,0.0,24.9804
Second Class,Consumer,San Francisco,California,West,Office Supplies,Paper,62.65,7,0.0,28.819
Second Class,Consumer,San Francisco,California,West,Office Supplies,Paper,94.85,5,0.0,45.528
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,95.76,6,0.2,7.182
Standard Class,Consumer,San Diego,California,West,Technology,Accessories,9.09,3,0.0,1.9089
First Class,Home Office,Los Angeles,California,West,Office Supplies,Labels,29.6,2,0.0,14.8
First Class,Home Office,Los Angeles,California,West,Technology,Phones,279.96,5,0.2,17.4975
Standard Class,Consumer,Costa Mesa,California,West,Office Supplies,Binders,119.616,8,0.2,40.3704
Standard Class,Consumer,Costa Mesa,California,West,Furniture,Chairs,241.568,2,0.2,18.1176
Standard Class,Consumer,Costa Mesa,California,West,Furniture,Furnishings,69.3,9,0.0,22.869
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,6.63,3,0.0,1.7901
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,5.88,2,0.0,1.7052
First Class,Consumer,Los Angeles,California,West,Technology,Phones,55.176,3,0.2,-12.4146
First Class,Consumer,Los Angeles,California,West,Technology,Accessories,66.26,2,0.0,27.1666
Second Class,Corporate,Los Angeles,California,West,Furniture,Chairs,190.72,1,0.2,11.92
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,47.94,3,0.0,2.397
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,20.7,2,0.0,9.936
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,32.4,5,0.0,15.552
Second Class,Consumer,San Francisco,California,West,Furniture,Furnishings,42.6,3,0.0,16.614
Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,84.056,7,0.2,27.3182
First Class,Consumer,Los Angeles,California,West,Technology,Phones,374.376,3,0.2,46.797
Second Class,Consumer,Long Beach,California,West,Office Supplies,Paper,19.92,4,0.0,9.7608
Second Class,Consumer,Long Beach,California,West,Office Supplies,Supplies,7.3,2,0.0,2.19
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Supplies,51.52,4,0.0,1.5456
Standard Class,Consumer,San Diego,California,West,Office Supplies,Appliances,76.12,2,0.0,22.0748
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Binders,15.24,5,0.2,5.1435
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,13.23,3,0.0,6.0858
Standard Class,Home Office,Vallejo,California,West,Office Supplies,Binders,15.424,4,0.2,5.0128
Second Class,Consumer,Mission Viejo,California,West,Office Supplies,Labels,26.25,7,0.0,12.6
Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,166.24,1,0.0,24.936
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,33.4,5,0.0,16.032
Standard Class,Consumer,Long Beach,California,West,Furniture,Tables,369.912,3,0.2,-13.8717
Standard Class,Consumer,San Francisco,California,West,Technology,Accessories,49.98,2,0.0,8.4966
Same Day,Corporate,San Diego,California,West,Office Supplies,Storage,359.32,4,0.0,7.1864
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.92,4,0.0,28.7712
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,58.32,9,0.0,27.9936
First Class,Home Office,San Francisco,California,West,Office Supplies,Paper,59.94,3,0.0,28.1718
First Class,Home Office,San Francisco,California,West,Office Supplies,Paper,23.92,4,0.0,11.7208
First Class,Home Office,San Francisco,California,West,Office Supplies,Paper,4.28,1,0.0,1.926
Second Class,Consumer,Lancaster,California,West,Office Supplies,Binders,17.456,2,0.2,5.8914
Standard Class,Consumer,Lancaster,California,West,Furniture,Chairs,348.928,2,0.2,34.8928
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Labels,9.96,2,0.0,4.5816
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,21.72,4,0.0,10.6428
Standard Class,Consumer,Lake Elsinore,California,West,Furniture,Chairs,283.92,5,0.2,17.745
First Class,Corporate,San Diego,California,West,Furniture,Furnishings,22.23,1,0.0,7.3359
First Class,Corporate,San Diego,California,West,Technology,Phones,215.968,2,0.2,18.8972
First Class,Consumer,San Francisco,California,West,Furniture,Furnishings,18.28,2,0.0,6.2152
Same Day,Consumer,Santa Ana,California,West,Furniture,Furnishings,18.28,2,0.0,6.2152
Standard Class,Consumer,San Francisco,California,West,Technology,Accessories,67.8,4,0.0,4.068
Standard Class,Consumer,San Francisco,California,West,Technology,Accessories,167.97,3,0.0,40.3128
First Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,37.44,4,0.2,11.7
First Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,26.976,4,0.2,8.7672
First Class,Corporate,Los Angeles,California,West,Office Supplies,Supplies,11.36,2,0.0,3.2944
First Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714
Second Class,Corporate,Salinas,California,West,Office Supplies,Art,5.16,2,0.0,1.3416
Second Class,Corporate,Salinas,California,West,Office Supplies,Paper,38.88,6,0.0,18.6624
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Supplies,7.36,2,0.0,0.1472
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,23.1,2,0.0,10.626
Same Day,Consumer,San Francisco,California,West,Office Supplies,Art,13.48,4,0.0,5.9312
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,13.944,3,0.2,4.5318
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,34.68,6,0.0,16.9932
First Class,Corporate,San Francisco,California,West,Office Supplies,Storage,155.82,7,0.0,42.0714
First Class,Corporate,San Francisco,California,West,Office Supplies,Binders,70.008,3,0.2,24.5028
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.04,3,0.0,9.6192
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,64.96,2,0.0,2.5984
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,12.96,2,0.0,6.2208
Standard Class,Corporate,Riverside,California,West,Office Supplies,Paper,12.96,2,0.0,6.2208
Standard Class,Corporate,Riverside,California,West,Office Supplies,Appliances,134.48,4,0.0,34.9648
First Class,Corporate,San Francisco,California,West,Office Supplies,Paper,17.12,2,0.0,8.0464
Standard Class,Corporate,Torrance,California,West,Office Supplies,Binders,6.096,2,0.2,2.2098
Standard Class,Corporate,San Francisco,California,West,Furniture,Chairs,321.568,2,0.2,28.1372
First Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,21.88,2,0.0,10.94
First Class,Consumer,San Jose,California,West,Office Supplies,Fasteners,10.23,3,0.0,4.9104
First Class,Consumer,San Diego,California,West,Furniture,Furnishings,151.72,4,0.0,27.3096
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,32.4,5,0.0,15.552
First Class,Home Office,Los Angeles,California,West,Office Supplies,Binders,11.808,2,0.2,4.2804
First Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,36.624,3,0.2,13.734
Second Class,Consumer,San Francisco,California,West,Technology,Accessories,99.99,1,0.0,37.9962
Standard Class,Corporate,San Diego,California,West,Office Supplies,Binders,19.936,4,0.2,7.2268
Standard Class,Corporate,San Diego,California,West,Office Supplies,Binders,65.568,2,0.2,22.9488
First Class,Consumer,San Francisco,California,West,Furniture,Chairs,194.848,4,0.2,12.178
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Art,19.46,7,0.0,5.0596
Second Class,Corporate,Oakland,California,West,Technology,Phones,71.976,3,0.2,7.1976
Second Class,Corporate,Oakland,California,West,Office Supplies,Labels,3.15,1,0.0,1.512
Standard Class,Consumer,San Diego,California,West,Office Supplies,Art,120.15,9,0.0,33.642
Standard Class,Consumer,San Diego,California,West,Technology,Phones,219.184,2,0.2,19.1786
First Class,Corporate,Los Angeles,California,West,Furniture,Tables,447.84,5,0.2,11.196
First Class,Home Office,San Francisco,California,West,Office Supplies,Art,7.04,4,0.0,2.0416
First Class,Home Office,San Francisco,California,West,Furniture,Furnishings,8.73,3,0.0,4.1031
First Class,Home Office,San Francisco,California,West,Technology,Accessories,29.29,1,0.0,9.6657
First Class,Home Office,San Francisco,California,West,Office Supplies,Art,8.64,3,0.0,2.5056
Standard Class,Consumer,Riverside,California,West,Office Supplies,Paper,22.92,3,0.0,11.2308
Second Class,Consumer,Encinitas,California,West,Office Supplies,Binders,46.672,2,0.2,16.3352
Second Class,Consumer,Encinitas,California,West,Furniture,Bookcases,119.833,1,0.15,-12.6882
Second Class,Corporate,San Francisco,California,West,Office Supplies,Labels,6.3,2,0.0,3.024
First Class,Corporate,Antioch,California,West,Office Supplies,Paper,19.44,3,0.0,9.3312
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Fasteners,8.72,4,0.0,2.8776
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0.0,3.1104
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,62.18,1,0.0,16.7886
Second Class,Corporate,Los Angeles,California,West,Furniture,Chairs,195.184,1,0.2,19.5184
Second Class,Consumer,Escondido,California,West,Office Supplies,Art,53.94,3,0.0,15.6426
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,16.52,5,0.2,5.5755
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Labels,11.56,4,0.0,5.4332
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Appliances,81.92,4,0.0,22.1184
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,23.12,4,0.0,11.3288
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Storage,249.75,9,0.0,44.955
Standard Class,Home Office,Los Angeles,California,West,Technology,Phones,255.936,8,0.2,28.7928
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Envelopes,15.28,2,0.0,7.4872
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,8.73,1,0.0,2.9682
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,5.68,2,0.0,1.7608
Second Class,Consumer,Fresno,California,West,Furniture,Bookcases,254.9745,3,0.15,11.9988
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,6.57,3,0.0,1.7739
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,142.86,1,0.0,41.4294
Standard Class,Corporate,Los Angeles,California,West,Furniture,Chairs,292.272,6,0.2,18.267
First Class,Home Office,San Francisco,California,West,Office Supplies,Binders,13.216,4,0.2,4.4604
First Class,Home Office,San Francisco,California,West,Office Supplies,Paper,32.4,5,0.0,15.552
Standard Class,Consumer,San Diego,California,West,Office Supplies,Supplies,32.94,3,0.0,9.2232
Standard Class,Consumer,San Diego,California,West,Office Supplies,Labels,3.08,1,0.0,1.4784
Standard Class,Corporate,Fairfield,California,West,Office Supplies,Binders,13.904,2,0.2,4.5188
Standard Class,Corporate,Fairfield,California,West,Office Supplies,Binders,20.72,2,0.2,6.475
First Class,Consumer,San Francisco,California,West,Office Supplies,Storage,26.96,2,0.0,7.0096
First Class,Consumer,Pasadena,California,West,Office Supplies,Paper,46.76,7,0.0,22.4448
First Class,Consumer,Pasadena,California,West,Office Supplies,Binders,17.712,3,0.2,6.4206
First Class,Consumer,Pasadena,California,West,Office Supplies,Appliances,21.78,2,0.0,5.6628
First Class,Consumer,Pasadena,California,West,Office Supplies,Storage,161.94,3,0.0,9.7164
First Class,Consumer,Pasadena,California,West,Furniture,Chairs,161.568,2,0.2,-8.0784
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,38.88,6,0.0,18.6624
Second Class,Home Office,San Francisco,California,West,Office Supplies,Art,87.92,4,0.0,26.376
Standard Class,Consumer,San Francisco,California,West,Furniture,Furnishings,37.05,3,0.0,16.302
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,25.11,3,0.0,6.5286
Standard Class,Corporate,San Francisco,California,West,Technology,Phones,183.96,5,0.2,20.6955
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,17.61,3,0.0,8.4528
Standard Class,Corporate,San Francisco,California,West,Furniture,Tables,300.904,1,0.2,11.2839
Second Class,Consumer,Los Angeles,California,West,Furniture,Chairs,145.568,2,0.2,0.0
Second Class,Consumer,Vallejo,California,West,Office Supplies,Labels,29.6,2,0.0,14.8
Second Class,Consumer,Vallejo,California,West,Office Supplies,Binders,17.088,4,0.2,5.5536
Second Class,Home Office,Costa Mesa,California,West,Technology,Accessories,239.97,3,0.0,26.3967
Second Class,Home Office,Costa Mesa,California,West,Furniture,Furnishings,37.74,3,0.0,12.8316
Second Class,Corporate,Salinas,California,West,Office Supplies,Binders,9.728,2,0.2,3.2832
Second Class,Corporate,Salinas,California,West,Office Supplies,Envelopes,14.75,5,0.0,7.08
Second Class,Corporate,Salinas,California,West,Office Supplies,Binders,29.8,5,0.2,9.3125
Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,36.672,2,0.2,11.46
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,88.752,3,0.2,11.094
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,8.67,3,0.0,4.0749
First Class,Consumer,Westminster,California,West,Technology,Phones,31.968,4,0.2,2.3976
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,25.92,4,0.0,12.4416
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,40.46,7,0.0,19.8254
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,33.87,3,0.0,8.8062
Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,89.97,3,0.0,37.7874
Standard Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,42.6,3,0.0,16.614
First Class,Home Office,San Francisco,California,West,Office Supplies,Binders,18.16,5,0.2,6.583
Standard Class,Home Office,Los Angeles,California,West,Technology,Phones,33.52,2,0.2,3.352
Standard Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,9.94,2,0.0,3.0814
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Art,6.72,4,0.0,3.36
First Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,8.36,2,0.0,3.0096
Standard Class,Corporate,Pomona,California,West,Office Supplies,Art,35.82,9,0.0,11.8206
Second Class,Corporate,San Francisco,California,West,Office Supplies,Binders,21.336,7,0.2,7.7343
Standard Class,Home Office,Laguna Niguel,California,West,Furniture,Bookcases,203.983,2,0.15,16.7986
Standard Class,Home Office,San Diego,California,West,Office Supplies,Binders,82.896,3,0.2,29.0136
Standard Class,Home Office,San Diego,California,West,Office Supplies,Paper,34.24,4,0.0,16.0928
Standard Class,Home Office,San Francisco,California,West,Office Supplies,Labels,18.9,6,0.0,9.072
First Class,Consumer,Los Angeles,California,West,Office Supplies,Envelopes,21.84,3,0.0,10.4832
First Class,Consumer,Los Angeles,California,West,Technology,Accessories,29.99,1,0.0,6.2979
First Class,Consumer,Los Angeles,California,West,Furniture,Chairs,381.44,2,0.2,23.84
Same Day,Consumer,Los Angeles,California,West,Office Supplies,Paper,13.44,3,0.0,6.5856
Second Class,Consumer,Los Angeles,California,West,Technology,Phones,39.96,5,0.2,12.987
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Art,5.46,3,0.0,1.5288
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Art,73.2,5,0.0,21.228
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,5.84,1,0.2,1.971
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,22.72,4,0.0,10.224
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,9.336,3,0.2,3.2676
Standard Class,Corporate,Los Angeles,California,West,Furniture,Bookcases,290.666,2,0.15,27.3568
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,201.584,2,0.2,20.1584
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,83.984,2,0.2,31.494
Same Day,Corporate,San Francisco,California,West,Office Supplies,Paper,13.36,2,0.0,6.4128
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,160.776,3,0.2,10.0485
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,104.28,3,0.0,26.07
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,17.94,3,0.0,8.7906
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,18.97,1,0.0,9.1056
Standard Class,Corporate,San Francisco,California,West,Furniture,Furnishings,14.82,3,0.0,6.2244
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,106.96,2,0.0,31.0184
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,21.56,7,0.0,10.3488
Standard Class,Home Office,San Diego,California,West,Office Supplies,Fasteners,12.35,5,0.0,5.8045
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Labels,43.86,6,0.0,20.6142
Standard Class,Consumer,San Francisco,California,West,Technology,Phones,148.48,2,0.2,16.704
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,7.42,2,0.0,3.71
Standard Class,Consumer,San Francisco,California,West,Furniture,Chairs,71.992,1,0.2,-0.8999
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,19.9,5,0.0,6.567
Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,307.666,2,0.15,-14.4784
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Storage,31.44,3,0.0,8.4888
Standard Class,Corporate,San Francisco,California,West,Technology,Accessories,17.9,2,0.0,3.401
Standard Class,Corporate,San Francisco,California,West,Technology,Accessories,129.45,5,0.0,46.602
Standard Class,Home Office,San Diego,California,West,Office Supplies,Labels,20.88,8,0.0,9.6048
First Class,Consumer,Oakland,California,West,Furniture,Furnishings,9.46,2,0.0,3.6894
First Class,Corporate,San Francisco,California,West,Office Supplies,Paper,8.56,2,0.0,3.852
Standard Class,Consumer,San Diego,California,West,Furniture,Bookcases,411.332,4,0.15,-4.8392
Standard Class,Consumer,San Diego,California,West,Office Supplies,Binders,28.752,6,0.2,9.7038
Standard Class,Consumer,San Diego,California,West,Furniture,Bookcases,293.199,3,0.15,-20.6964
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,14.7,5,0.0,6.615
First Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,45.36,7,0.0,21.7728
Standard Class,Corporate,Los Angeles,California,West,Furniture,Tables,170.136,3,0.2,-8.5068
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,9.96,2,0.0,4.5816
Same Day,Corporate,Los Angeles,California,West,Furniture,Chairs,362.352,3,0.2,27.1764
Same Day,Corporate,Los Angeles,California,West,Office Supplies,Binders,7.184,2,0.2,2.245
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,14.52,3,0.0,4.7916
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,99.2,5,0.0,25.792
Standard Class,Corporate,San Francisco,California,West,Furniture,Tables,272.848,1,0.2,27.2848
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.376,3,0.2,22.6782
Second Class,Consumer,San Francisco,California,West,Furniture,Furnishings,31.56,3,0.0,10.4148
Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Paper,10.56,2,0.0,4.752
Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Art,3.38,1,0.0,1.2506
First Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,136.92,4,0.0,41.076
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,99.39,3,0.0,40.7499
Second Class,Consumer,San Diego,California,West,Office Supplies,Paper,92.94,3,0.0,41.823
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,177.48,3,0.2,19.9665
Second Class,Home Office,San Francisco,California,West,Furniture,Furnishings,14.73,3,0.0,4.8609
Second Class,Corporate,Brentwood,California,West,Furniture,Furnishings,23.88,3,0.0,10.5072
Second Class,Corporate,Brentwood,California,West,Office Supplies,Paper,26.76,4,0.0,12.3096
Standard Class,Consumer,Pasadena,California,West,Technology,Accessories,199.95,5,0.0,21.9945
Standard Class,Consumer,Pasadena,California,West,Office Supplies,Art,41.86,7,0.0,14.2324
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Binders,17.568,2,0.2,6.3684
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Supplies,33.36,4,0.0,8.6736
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Paper,40.14,6,0.0,19.6686
Second Class,Home Office,Lancaster,California,West,Office Supplies,Binders,33.024,2,0.2,11.5584
Second Class,Home Office,Lancaster,California,West,Office Supplies,Binders,67.136,4,0.2,23.4976
Standard Class,Corporate,San Diego,California,West,Office Supplies,Binders,57.504,6,0.2,20.1264
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Fasteners,11.34,3,0.0,5.2164
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,80.3,5,0.0,20.878
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,15.968,2,0.2,5.3892
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,19.296,3,0.2,6.03
